Year,Real_GDP_Ksh,Population_Growth,Female_Labor_Participation,Male_Labor_Participation,Education_Expenditure_Ksh,Inflation,Dollar_Rate,Total_Unemployment,Labor_Total_Population_Ratio,Urban_Population_Growth_Income_Per_Capita_Growth_Ratio
2000,982855,2.92,50.46,46.89,49142906050,9.98,76.17554167,3.13,0.92022868,1.030328049
2001,1020111,3.03,50.03,46.87,51541206455,5.73,78.563195,3.07,0.924818654,1.050861963
2002,1025583,3.03,49.61,46.84,59496328009,1.97,78.74914167,3.09,0.92370289,1.055151195
2003,1055658,2.97,49.18,46.82,75529084496,9.81,84.1483,3.04,0.921478938,1.039265537
2004,1109338,2.99,48.76,46.79,81574985207,11.8,80.65011163,3,0.918978423,1.043337635
2005,1172784,2.98,48.34,46.77,91865043173,9.91,75.56632672,2.97,0.913653811,1.04083359
2006,1249470,2.97,47.91,46.75,123380384663.24,6.03,72.14546331,2.94,0.906345558,1.040918008
2007,1336849,2.97,47.48,46.72,133076089631.11,4.27,67.46676516,2.92,0.897861559,1.040006401
2008,1357262,2.98,47.05,46.71,142542217218.20,15.11,69.00307114,2.98,0.890312887,1.042843923
2009,5361462,2.96,46.62,46.69,152139931006.00,10.54,77.33953651,2.92,0.88550374,1.000919379
2010,5793514,2.82,46.19,46.67,154147209557.14,4.08,79.26121067,2.85,0.884618946,1.025026417
2011,6090206,2.66,45.77,46.65,184706124953.87,14.02,88.86650079,2.86,0.888169466,1.001337021
2012,6368448,2.53,45.35,46.62,221947456796.53,9.38,84.52289882,2.84,0.89452545,1.000501737
2013,6610312,2.41,44.92,46.6,244972324686.20,5.72,86.12591928,2.83,0.903290043,0.974158689
2014,6942157,2.29,44.5,46.58,266410020539.19,6.88,87.92357937,2.8,0.914019068,0.949720322
2015,7287024,2.2,44.07,46.56,303229387059.03,6.58,98.51760369,2.77,0.925582917,0.981859375
2016,7594064,2.2,43.64,46.56,364850426067.33,6.32,101.4977168,2.76,0.937643164,1
2017,7885521,2.18,43.09,45.22,405590175339.70,7.99,103.4119624,3.52,0.942665999,0.90458849
2018,8330891,2.03,42.54,43.86,448039478569.33,4.69,101.298608,4.25,0.948735695,0.95745201
2019,8756946,1.98,41.96,42.46,491617294931.34,5.24,102.0127112,5.01,0.955050262,0.931972941
2020,8733060,2.01,41.54,42.07,515054370831.31,5.29,106.4676265,5.62,0.947115575,0.871793289
2021,9395942,1.94,41.61,41.96,226510055956.50,6.11,109.6509498,5.64,0.975506623,0.974158689
2022,9851329,1.91,41.87,42.65,243435396068.22,7.65,117.844315,5.5,1,0.974158689
